trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1743,0.0012499999999999994,0.002,294.6560504149699,306.95254620455546,295.62590560774436,0.6364605360135377,294.78906981046794,297.0039780345716,12.29649578958555,0.9698551927744461,-11.326640596811103,11.326640596811103,17.796296794386294,False,True,True,0.9888888888888889,10-20 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1744,0.0014999999999999979,0.002,294.6560504149699,314.6436486523258,295.43637848987663,0.5093729372224179,294.61175634426263,296.5149446052307,19.987598237355883,0.7803280749067198,-19.207270162449163,19.207270162449163,37.70767694723895,False,True,True,0.9666666666666667,10-20 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1745,0.001749999999999998,0.002,294.6560504149699,334.6673418754371,295.59144659434065,0.34808076720419395,294.9172761604682,296.1630582029373,40.01129146046719,0.9353961793707413,-39.07589528109645,39.07589528109645,112.26100078713465,False,True,True,0.9944444444444445,>20 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1746,0.0019999999999999983,0.002,294.6560504149699,306.2915633332015,295.77244264997034,0.7140271756760715,294.5611621958612,297.2585169874219,11.635512918231598,1.1163922350004327,-10.519120683231165,10.519120683231165,14.732101300305846,False,True,True,0.95,10-20 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1791,-0.002000000000000001,0.0022500000000000003,294.6560504149699,294.7818423048683,296.09715559992435,0.8121443580336256,294.8598269533147,297.3591079973439,0.1257918898983803,1.4411051849544378,1.3153132950560575,1.3153132950560575,1.6195560334134576,False,True,True,0.9944444444444445,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1792,-0.0017500000000000007,0.0022500000000000003,294.6560504149699,295.4444372118019,295.7941648064975,0.5638844592861275,294.8687411444763,296.9117471716449,0.7883867968320146,1.1381143915276084,0.3497275946955938,0.3497275946955938,0.6202114439159144,True,True,True,0.9944444444444445,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1793,-0.0015000000000000013,0.0022500000000000003,294.6560504149699,295.66264781422456,295.27606176601466,0.3332352751360577,294.6826818205227,295.96089831223895,1.0065973992546446,0.6200113510447522,-0.3865860482098924,0.3865860482098924,1.1600994164019758,True,True,True,0.9833333333333333,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1794,-0.0012500000000000011,0.0022500000000000003,294.6560504149699,295.63809632036623,294.9669626146622,0.3403819247935375,294.4094022433194,295.64588685402595,0.9820459053963191,0.31091219969226813,-0.671133705704051,0.671133705704051,1.971707828231874,True,True,True,0.8,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1795,-0.0010000000000000009,0.0022500000000000003,294.6560504149699,295.61704441158065,295.15963267009164,0.4029554211057624,294.4970064124348,295.91320849710684,0.960993996610739,0.5035822551217279,-0.4574117414890111,0.4574117414890111,1.1351422949809522,True,True,True,0.9166666666666666,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1796,-0.0007500000000000007,0.0022500000000000003,294.6560504149699,295.6799631879097,295.7389150628491,0.4501204413896429,294.63331718229915,296.47934960526175,1.0239127729398092,1.0828646478792052,0.05895187493939602,0.05895187493939602,0.13096911297206526,True,True,True,0.9666666666666667,1-2 K
